pipeline,acc_mean,acc_std,f1_mean,f1_std,train_s_mean,train_s_std,infer_ms_mean,infer_ms_std
A_PCA+LinearSVM,0.9633333333333333,0.02541325113662814,0.9614761904761904,0.027747239449216508,0.8657424922000019,0.14328685307551728,0.2905116816666009,0.09956158248395507
B_ResNet18Embeddings+LinearSVM,0.985,0.014907119849998629,0.98375,0.01637997470781229,0.04454458240004442,0.008609775380153945,0.0974297716665736,0.011018936776464608
